"rotadate","c1","c2","c3","c4","late","night","night2","night3","time_night","time_night2","n2_required","n2_ecmo","time_finish"
"2021-12-08","pg","la","dm",\0,\0,"la","dm",\0,"03:30","00:00","000","0",\0
"2021-12-09","pg","sw","dm",\0,\0,"sw","pg",\0,"04:00","03:00","000","0",\0
"2021-12-10","ck","la","dm",\0,\0,"la","ck",\0,"04:30","00:00","000","0",\0
"2021-12-11","ck","la","ks",\0,\0,"ck","la",\0,"04:30","00:00","000","0",\0
"2021-12-12","ck","la","im",\0,\0,"jm","ck",\0,"06:30","00:00","000","0",\0
"2021-12-13","ck","im","sw",\0,\0,"im","sw",\0,"06:00","00:00","000","0",\0
"2021-12-14","ck","sf","is",\0,\0,"sf","ck",\0,\0,"00:00",\0,\0,\0
"2021-12-15","ck","im","sw",\0,\0,"im","sw",\0,"12:00","00:00","001","1",\0
"2021-12-16","ck","sf","dm",\0,\0,"sf","ck",\0,\0,"00:00",\0,\0,\0
"2021-12-17","jm","im","dm",\0,\0,"im","jm",\0,"05:00","00:00","000","0",\0
"2021-12-18","jm","im","dm",\0,\0,"jm","im",\0,"04:30","00:00","000","0",\0
"2021-12-19","jm","im","dm",\0,\0,"dm","jm",\0,"04:00","00:00","000","0",\0
"2021-12-20","jm","is","ks",\0,\0,"is","ks",\0,"05:00","00:00","000","0",\0
"2021-12-21","jm","pg","ks",\0,\0,"pg","jm",\0,"02:00","00:00","000","0",\0
"2021-12-22","jm","is","ks",\0,\0,"is","ks",\0,"02:00","00:00","000","0",\0
"2021-12-23","jm","pg","ks",\0,\0,"pg","jm",\0,"04:30","00:00","000","0",\0
"2021-12-24","rb","is","ks",\0,\0,"is","rb",\0,"02:00","00:00","000","0",\0
"2021-12-25","rb","is","ks",\0,\0,"rb","is",\0,"02:00","00:00","000","0",\0
"2021-12-26","rb","is","ks",\0,\0,"ks","rb",\0,"04:30","00:00","000","0",\0
"2021-12-27","rb","sas","sw",\0,\0,"sas","sw",\0,"05:00","00:00","000","0",\0
"2021-12-28","rb","al","sw",\0,\0,"al","rb",\0,"05:30","00:00","000","0",\0
"2021-12-29","rb","sas","sw",\0,\0,"sas","sw",\0,"06:00","00:00","000","0",\0
"2021-12-30","rb","al","sw",\0,\0,"al","rb",\0,"03:00","00:00","000","0",\0
"2021-12-31","im","sas","sw",\0,\0,"sas","im",\0,"06:00","00:00","000","0",\0
"2022-01-01","im","sas","sw",\0,\0,"im","sas",\0,"05:30","00:00","000","0",\0
"2022-01-02","im","sas","sw",\0,\0,"sw","im",\0,"04:30","00:00","000","0",\0
"2022-01-03","im","ck","dc",\0,\0,"ck","dc",\0,"04:00","00:30","000","0",\0
"2022-01-04","im","la","dc",\0,\0,"la","im",\0,"06:30","00:00","000","0",\0
"2022-01-05","im","ck","dc",\0,\0,"ck","dc",\0,"06:00","00:30","000","0",\0
"2022-01-06","im","la","dc",\0,\0,"la","im",\0,"07:00","00:00","000","0",\0
"2022-01-07","dm","ck","dc",\0,\0,"ck","dm",\0,"08:00","00:00","000","0",\0
"2022-01-08","dm","ck","dc",\0,\0,"dm","ck",\0,"00:00","00:00","000","0",\0
"2022-01-09","dm","ck","dc",\0,\0,"dc","dm",\0,"22:00","00:00","000","0",\0
"2022-01-10","dm","sf","pg",\0,\0,"sf","pg",\0,\0,"00:00",\0,\0,\0
"2022-01-11","dm","ks","pg",\0,\0,"ks","dm",\0,"04:30","00:00","000","0",\0
"2022-01-12","dm","sf","pg",\0,\0,"sf","pg",\0,\0,"00:00",\0,\0,\0
"2022-01-13","dm","ks","gw",\0,\0,"ks","dm",\0,"05:00","00:00","000","0",\0
"2022-01-14","dm","sf","gw",\0,\0,"sf","sw",\0,\0,\0,\0,\0,\0
"2022-01-15","sw","sf","gw",\0,\0,"sw","sf",\0,\0,\0,\0,\0,\0
"2022-01-16","sw","sf","gw",\0,\0,"gw","sw",\0,\0,\0,\0,\0,\0
"2022-01-17","ajc","sw","la",\0,\0,"sw","la",\0,\0,"00:00",\0,\0,\0
"2022-01-18","ajc","is","la",\0,\0,"is","ajc",\0,\0,"00:00",\0,\0,\0
"2022-01-19","ajc","sw","la",\0,\0,"sw","la",\0,\0,"00:00",\0,\0,\0
"2022-01-20","ajc","is","la",\0,\0,"is","ajc",\0,\0,"00:00",\0,\0,\0
"2022-01-21","ks","sw","la",\0,\0,"sw","ks",\0,\0,"00:00",\0,\0,\0
"2022-01-22","ks","sw","la",\0,\0,"ks","sw",\0,"07:00",\0,"001","0",\0
"2022-01-23","ks","sf","la",\0,\0,"la","ks",\0,"05:00","00:00","000","0",\0
"2022-01-24","ks","dm","sf",\0,\0,"dm","sf",\0,"11:00",\0,"001","1",\0
"2022-01-25","ks","sas","sf",\0,\0,"ck","ks",\0,"00:00","00:00","000","0",\0
"2022-01-26","ks","dm","sf",\0,\0,"dm","sf",\0,"08:00",\0,"000","0",\0
"2022-01-27","ks","sas","sf",\0,\0,"sas","ks",\0,"06:00","00:00","000","0",\0
"2022-01-28","is","dm","sf",\0,\0,"dm","is",\0,"06:00",\0,"000","0",\0
"2022-01-29","is","dm","sf",\0,\0,"is","dm",\0,\0,"00:00",\0,\0,\0
"2022-01-30","is","dm","sf",\0,\0,"sf","is",\0,\0,\0,\0,\0,\0
"2022-01-31","is","ajc","im",\0,\0,"ajc","im",\0,"06:00","00:00","000","0",\0
"2022-02-01","is","al","im",\0,\0,"al","is",\0,"04:30",\0,"000","0",\0
